User_ID;Status;Age;Gender;Education_Level;Marital_Status;Income_Category;User_Level;Usage_Duration;Services_Used;Months_Inactive;Total_Spending;Total_Transaction
768805383;Existing Customer;45;M;High School;Married;$60K - $80K;Blue;39;5;1;1144;42
818770008;Existing Customer;49;F;Graduate;Single;Less than $40K;Blue;44;6;1;1291;33
713982108;Existing Customer;51;M;Graduate;Married;$80K - $120K;Blue;36;4;1;1887;20
769911858;Existing Customer;40;F;High School;Unknown;Less than $40K;Blue;34;3;4;1171;20
709106358;Existing Customer;40;M;Uneducated;Married;$60K - $80K;Blue;21;5;1;816;28
713061558;Existing Customer;44;M;Graduate;Married;$40K - $60K;Blue;36;3;1;1088;24
810347208;Existing Customer;51;M;Unknown;Married;$120K +;Gold;46;6;1;1330;31
818906208;Existing Customer;32;M;High School;Unknown;$60K - $80K;Silver;27;2;2;1538;36
710930508;Existing Customer;37;M;Uneducated;Single;$60K - $80K;Blue;36;5;2;1350;24
719661558;Existing Customer;48;M;Graduate;Single;$80K - $120K;Blue;36;6;3;1441;32
708790833;Existing Customer;42;M;Uneducated;Unknown;$120K +;Blue;31;5;3;1201;42
710821833;Existing Customer;65;M;Unknown;Married;$40K - $60K;Blue;54;6;2;1314;26
710599683;Existing Customer;56;M;College;Single;$80K - $120K;Blue;36;3;6;1539;17
816082233;Existing Customer;35;M;Graduate;Unknown;$60K - $80K;Blue;30;5;1;1311;33
712396908;Existing Customer;57;F;Graduate;Married;Less than $40K;Blue;48;5;2;1570;29
714885258;Existing Customer;44;M;Unknown;Unknown;$80K - $120K;Blue;37;5;1;1348;27
709967358;Existing Customer;48;M;Post-Graduate;Single;$80K - $120K;Blue;36;6;2;1671;27
753327333;Existing Customer;41;M;Unknown;Married;$80K - $120K;Blue;34;4;4;1028;21
806160108;Existing Customer;61;M;High School;Married;$40K - $60K;Blue;56;2;2;1336;30
709327383;Existing Customer;45;F;Graduate;Married;Unknown;Blue;37;6;1;1207;21
806165208;Existing Customer;47;M;Doctorate;Divorced;$60K - $80K;Blue;42;5;2;1178;27
708508758;Attrited Customer;62;F;Graduate;Married;Less than $40K;Blue;49;2;3;692;16
784725333;Existing Customer;41;M;High School;Married;$40K - $60K;Blue;33;4;2;931;18
811604133;Existing Customer;47;F;Unknown;Single;Less than $40K;Blue;36;3;3;1126;23
789124683;Existing Customer;54;M;Unknown;Married;$80K - $120K;Blue;42;4;2;1110;21
771071958;Existing Customer;41;F;Graduate;Single;Less than $40K;Blue;28;6;1;1051;22
720466383;Existing Customer;59;M;High School;Unknown;$40K - $60K;Blue;46;4;1;1197;23
804424383;Existing Customer;63;M;Unknown;Married;$60K - $80K;Blue;56;3;3;1904;40
718813833;Existing Customer;44;F;Uneducated;Single;Unknown;Blue;34;5;2;1052;18
806624208;Existing Customer;47;M;High School;Married;$40K - $60K;Blue;42;6;0;1045;38
778348233;Existing Customer;53;M;Unknown;Married;$80K - $120K;Blue;33;3;2;1038;25
712991808;Existing Customer;53;M;Uneducated;Married;$60K - $80K;Blue;48;2;5;1596;26
709029408;Existing Customer;41;M;Graduate;Married;$60K - $80K;Blue;36;4;1;1589;24
788658483;Existing Customer;53;F;College;Married;Less than $40K;Blue;38;5;2;1411;28
787937058;Existing Customer;58;M;Graduate;Married;$80K - $120K;Blue;49;6;2;1291;24
715318008;Existing Customer;55;F;College;Single;Less than $40K;Blue;36;4;2;1407;43
713962233;Existing Customer;55;F;Graduate;Married;Less than $40K;Blue;36;6;2;1877;37
785432733;Existing Customer;42;F;High School;Married;Less than $40K;Gold;36;2;3;966;22
715190283;Existing Customer;57;F;Graduate;Unknown;$40K - $60K;Blue;49;3;3;1464;28
708300483;Attrited Customer;66;F;Doctorate;Married;Unknown;Blue;56;5;4;704;16
827111283;Existing Customer;45;M;Graduate;Single;$80K - $120K;Blue;41;2;2;1109;28
758551608;Existing Customer;51;M;Unknown;Married;$40K - $60K;Blue;44;4;1;1347;28
773146383;Existing Customer;50;F;College;Single;$40K - $60K;Silver;43;3;2;1756;33
778493808;Existing Customer;49;M;High School;Married;$60K - $80K;Blue;37;5;2;1756;32
720572508;Existing Customer;38;F;Graduate;Single;Unknown;Blue;28;2;3;1042;23
712661433;Existing Customer;49;M;Uneducated;Single;$80K - $120K;Blue;30;3;2;1444;28
789172683;Existing Customer;56;M;Doctorate;Married;$60K - $80K;Blue;45;6;2;1741;27
738406533;Existing Customer;59;M;Doctorate;Married;$40K - $60K;Blue;52;3;2;1719;27
799723908;Existing Customer;46;M;High School;Married;$80K - $120K;Blue;40;4;3;1217;27
771490833;Existing Customer;52;M;College;Single;$80K - $120K;Blue;40;5;1;1140;40
720756708;Existing Customer;52;F;Unknown;Married;Less than $40K;Blue;41;6;3;1878;30
779471883;Attrited Customer;54;F;Graduate;Married;Less than $40K;Blue;40;2;3;705;19
711525033;Existing Customer;66;F;High School;Married;Less than $40K;Blue;54;3;4;1946;38
712813458;Existing Customer;49;M;Unknown;Married;$120K +;Blue;36;4;2;1414;35
714374133;Attrited Customer;56;M;Graduate;Married;$120K +;Blue;36;1;3;602;15
717891558;Existing Customer;49;F;Graduate;Unknown;Less than $40K;Blue;36;6;4;1052;32
716632758;Existing Customer;49;F;Graduate;Single;Less than $40K;Blue;36;2;2;1295;40
768563658;Existing Customer;56;M;Uneducated;Married;$40K - $60K;Blue;50;4;2;1424;29
711427458;Existing Customer;44;F;Graduate;Married;Unknown;Blue;35;4;1;1359;25
714091983;Existing Customer;42;M;High School;Single;$60K - $80K;Blue;34;4;4;1168;27
787584108;Existing Customer;55;M;Unknown;Married;$80K - $120K;Blue;47;4;2;1097;33
712030833;Attrited Customer;48;M;Graduate;Married;$60K - $80K;Silver;35;2;4;691;15
711481533;Existing Customer;39;M;High School;Divorced;$60K - $80K;Blue;33;5;3;1316;28
710082708;Existing Customer;44;M;Post-Graduate;Single;$120K +;Blue;32;2;4;1276;26
708155733;Existing Customer;53;M;High School;Single;$120K +;Blue;44;4;2;1289;23
788979258;Existing Customer;51;M;Uneducated;Single;$80K - $120K;Silver;38;4;1;1293;32
807986133;Existing Customer;57;M;College;Married;$60K - $80K;Blue;52;5;3;1353;35
788730933;Existing Customer;44;F;Uneducated;Single;Less than $40K;Blue;20;6;3;1132;28
711314058;Existing Customer;49;M;Graduate;Married;$60K - $80K;Blue;32;2;2;1670;17
717975333;Existing Customer;50;M;Doctorate;Married;$80K - $120K;Blue;38;6;2;837;15
715971108;Existing Customer;51;M;Graduate;Single;$120K +;Blue;42;3;2;1550;41
720096558;Existing Customer;55;F;Graduate;Married;Less than $40K;Blue;42;5;3;1540;36
719580033;Existing Customer;54;M;Graduate;Unknown;$60K - $80K;Blue;43;4;2;1256;21
820582308;Existing Customer;42;M;Uneducated;Married;$80K - $120K;Blue;37;6;2;1394;35
789973308;Existing Customer;44;M;College;Single;$60K - $80K;Blue;35;3;3;1341;24
712876233;Existing Customer;53;M;Graduate;Single;$80K - $120K;Blue;36;5;3;1289;33
804595158;Existing Customer;44;F;Graduate;Single;Less than $40K;Blue;36;6;4;1112;23
714826758;Existing Customer;37;F;Uneducated;Single;Less than $40K;Blue;29;4;4;2339;57
779058108;Existing Customer;49;M;Graduate;Divorced;$60K - $80K;Blue;30;6;1;1468;23
710790258;Existing Customer;47;M;Graduate;Married;$80K - $120K;Blue;38;6;3;1334;35
715623483;Existing Customer;47;M;Graduate;Married;$60K - $80K;Blue;37;4;4;1457;41
715156383;Existing Customer;44;M;Unknown;Unknown;$120K +;Blue;36;6;2;1603;29
711013983;Attrited Customer;55;F;Unknown;Married;$40K - $60K;Blue;45;2;4;615;12
755420433;Existing Customer;59;F;Graduate;Married;Unknown;Blue;52;2;3;1068;20
794543958;Existing Customer;53;M;Graduate;Divorced;$80K - $120K;Blue;35;5;4;1590;27
716396358;Existing Customer;52;M;Graduate;Married;$60K - $80K;Blue;47;5;3;1531;35
715398033;Existing Customer;53;M;High School;Single;$120K +;Blue;35;4;2;1212;31
711743883;Existing Customer;43;F;Uneducated;Single;Less than $40K;Blue;35;5;2;1237;32
719720058;Existing Customer;44;M;High School;Single;$60K - $80K;Blue;31;4;3;1413;14
778992108;Existing Customer;57;M;Unknown;Married;$120K +;Blue;45;5;3;1516;29
717539808;Existing Customer;51;F;High School;Single;Less than $40K;Blue;36;3;2;1276;21
